model,condition,metric,mean_diff,ci_low,ci_high,n
qwen2.5:0.5b-instruct,secular_post,explanation_heart_focus_inclusive,-0.0037247816987679237,-0.01132262958682602,0.004075428057273674,120
qwen2.5:0.5b-instruct,secular_post,explanation_heart_focus_controlled,-0.012761551736028132,-0.01987134463100423,-0.005730229035335089,120
qwen2.5:0.5b-instruct,secular_post,explanation_structure_score,-0.035416666666666666,-0.09166666666666666,0.014583333333333334,120
qwen2.5:0.5b-instruct,secular_pre,j1_heart_correct,-0.008333333333333333,-0.058333333333333334,0.041666666666666664,120
qwen2.5:0.5b-instruct,secular_pre,j1_act_correct,0.0,0.0,0.0,120
qwen2.5:0.5b-instruct,secular_pre,j2_heart_correct,0.008333333333333333,-0.041666666666666664,0.058333333333333334,120
qwen2.5:0.5b-instruct,secular_pre,j2_act_correct,-0.008333333333333333,-0.03333333333333333,0.016666666666666666,120
qwen2.5:0.5b-instruct,secular_pre,any_revision,0.016666666666666666,-0.05,0.09166666666666666,120
qwen2.5:0.5b-instruct,secular_pre,heart_revision,0.016666666666666666,-0.05,0.09166666666666666,120
qwen2.5:0.5b-instruct,secular_pre,act_revision,0.016666666666666666,-0.05,0.09166666666666666,120
qwen2.5:0.5b-instruct,secular_pre,heart_revision_toward_gold,0.016666666666666666,-0.03333333333333333,0.06666666666666667,120
qwen2.5:0.5b-instruct,secular_pre,act_revision_toward_gold,-0.008333333333333333,-0.025,0.0,120
qwen2.5:0.5b-instruct,secular_pre,explanation_direct_frame_echo_rate,0.01036898438784354,0.007660207596016109,0.013185585567368202,120
qwen2.5:0.5b-instruct,secular_pre,explanation_christianization_score,-0.0056450219782311776,-0.009624198878857867,-0.002015464372844173,120
qwen2.5:0.5b-instruct,secular_pre,explanation_heart_focus_inclusive,-0.007475936879736437,-0.014255020723933335,-0.0005644680427765711,120
qwen2.5:0.5b-instruct,secular_pre,explanation_heart_focus_controlled,-0.008046037652400877,-0.01421466288886728,-0.0023263138658557235,120
qwen2.5:0.5b-instruct,secular_pre,explanation_structure_score,0.035416666666666666,-0.0125,0.08333333333333333,120
qwen2.5:7b-instruct,baseline,j1_heart_correct,0.0,0.0,0.0,0
qwen2.5:7b-instruct,baseline,j1_act_correct,0.0,0.0,0.0,0
qwen2.5:7b-instruct,baseline,j2_heart_correct,0.0,0.0,0.0,0
qwen2.5:7b-instruct,baseline,j2_act_correct,0.0,0.0,0.0,0
qwen2.5:7b-instruct,baseline,any_revision,0.0,0.0,0.0,0
qwen2.5:7b-instruct,baseline,heart_revision,0.0,0.0,0.0,0
qwen2.5:7b-instruct,baseline,act_revision,0.0,0.0,0.0,0
qwen2.5:7b-instruct,baseline,heart_revision_toward_gold,0.0,0.0,0.0,0
qwen2.5:7b-instruct,baseline,act_revision_toward_gold,0.0,0.0,0.0,0
qwen2.5:7b-instruct,baseline,explanation_direct_frame_echo_rate,0.0,0.0,0.0,0
qwen2.5:7b-instruct,baseline,explanation_christianization_score,0.0,0.0,0.0,0
qwen2.5:7b-instruct,baseline,explanation_heart_focus_inclusive,0.0,0.0,0.0,0
qwen2.5:7b-instruct,baseline,explanation_heart_focus_controlled,0.0,0.0,0.0,0
qwen2.5:7b-instruct,baseline,explanation_structure_score,0.0,0.0,0.0,0
qwen2.5:7b-instruct,christian_post,j1_heart_correct,0.0,0.0,0.0,120
qwen2.5:7b-instruct,christian_post,j1_act_correct,0.0,0.0,0.0,120
qwen2.5:7b-instruct,christian_post,j2_heart_correct,0.0,0.0,0.0,120
qwen2.5:7b-instruct,christian_post,j2_act_correct,0.016666666666666666,-0.025,0.058333333333333334,120
qwen2.5:7b-instruct,christian_post,any_revision,0.016666666666666666,-0.03333333333333333,0.06666666666666667,120
qwen2.5:7b-instruct,christian_post,heart_revision,0.0,0.0,0.0,120
qwen2.5:7b-instruct,christian_post,act_revision,0.016666666666666666,-0.03333333333333333,0.06666666666666667,120
qwen2.5:7b-instruct,christian_post,heart_revision_toward_gold,0.0,0.0,0.0,120
qwen2.5:7b-instruct,christian_post,act_revision_toward_gold,0.008333333333333333,0.0,0.025,120
qwen2.5:7b-instruct,christian_post,explanation_direct_frame_echo_rate,0.06403124234299504,0.06067681893401004,0.06726665844470911,120
qwen2.5:7b-instruct,christian_post,explanation_christianization_score,0.04651674221855095,0.043166973466421774,0.04983154737465914,120
qwen2.5:7b-instruct,christian_post,explanation_heart_focus_inclusive,0.05735713434232884,0.05140824534863465,0.06369621741936789,120
qwen2.5:7b-instruct,christian_post,explanation_heart_focus_controlled,0.018902520086746113,0.014662337448171421,0.023380517353358252,120
qwen2.5:7b-instruct,christian_post,explanation_structure_score,0.19166666666666668,0.15833333333333333,0.22708333333333333,120
qwen2.5:7b-instruct,christian_pre,j1_heart_correct,0.016666666666666666,-0.016666666666666666,0.058333333333333334,120
qwen2.5:7b-instruct,christian_pre,j1_act_correct,0.14166666666666666,0.06666666666666667,0.225,120
qwen2.5:7b-instruct,christian_pre,j2_heart_correct,0.025,-0.016666666666666666,0.06666666666666667,120
qwen2.5:7b-instruct,christian_pre,j2_act_correct,0.10833333333333334,0.025,0.19166666666666668,120
qwen2.5:7b-instruct,christian_pre,any_revision,0.041666666666666664,-0.016666666666666666,0.1,120
qwen2.5:7b-instruct,christian_pre,heart_revision,0.008333333333333333,-0.016666666666666666,0.03333333333333333,120
qwen2.5:7b-instruct,christian_pre,act_revision,0.03333333333333333,-0.008333333333333333,0.08333333333333333,120
qwen2.5:7b-instruct,christian_pre,heart_revision_toward_gold,0.008333333333333333,-0.016666666666666666,0.03333333333333333,120
qwen2.5:7b-instruct,christian_pre,act_revision_toward_gold,0.0,0.0,0.0,120
qwen2.5:7b-instruct,christian_pre,explanation_direct_frame_echo_rate,0.049668172779677576,0.04618696432863563,0.05356362531850379,120
qwen2.5:7b-instruct,christian_pre,explanation_christianization_score,0.032153672655233494,0.028736982777969804,0.03578047467036324,120
qwen2.5:7b-instruct,christian_pre,explanation_heart_focus_inclusive,0.032675426487889,0.026829375914669,0.03877655660992325,120
qwen2.5:7b-instruct,christian_pre,explanation_heart_focus_controlled,0.008043172592194918,0.0032758999705999204,0.012801102167334306,120
qwen2.5:7b-instruct,christian_pre,explanation_structure_score,0.10208333333333333,0.06666666666666667,0.13958333333333334,120
qwen2.5:7b-instruct,judgment_only,j1_heart_correct,0.0,0.0,0.0,120
qwen2.5:7b-instruct,judgment_only,j1_act_correct,0.0,0.0,0.0,120
qwen2.5:7b-instruct,judgment_only,j2_heart_correct,,,,0
qwen2.5:7b-instruct,judgment_only,j2_act_correct,,,,0
qwen2.5:7b-instruct,judgment_only,any_revision,,,,0
qwen2.5:7b-instruct,judgment_only,heart_revision,,,,0
qwen2.5:7b-instruct,judgment_only,act_revision,,,,0
qwen2.5:7b-instruct,judgment_only,heart_revision_toward_gold,,,,0
qwen2.5:7b-instruct,judgment_only,act_revision_toward_gold,,,,0
qwen2.5:7b-instruct,judgment_only,explanation_direct_frame_echo_rate,,,,0
qwen2.5:7b-instruct,judgment_only,explanation_christianization_score,,,,0
qwen2.5:7b-instruct,judgment_only,explanation_heart_focus_inclusive,,,,0
qwen2.5:7b-instruct,judgment_only,explanation_heart_focus_controlled,,,,0
qwen2.5:7b-instruct,judgment_only,explanation_structure_score,,,,0
qwen2.5:7b-instruct,secular_post,j1_heart_correct,0.0,0.0,0.0,120
qwen2.5:7b-instruct,secular_post,j1_act_correct,0.0,0.0,0.0,120
qwen2.5:7b-instruct,secular_post,j2_heart_correct,-0.016666666666666666,-0.041666666666666664,0.0,120
qwen2.5:7b-instruct,secular_post,j2_act_correct,0.0,-0.025,0.025,120
qwen2.5:7b-instruct,secular_post,any_revision,0.025,-0.016666666666666666,0.06666666666666667,120
qwen2.5:7b-instruct,secular_post,heart_revision,0.0,-0.025,0.025,120
qwen2.5:7b-instruct,secular_post,act_revision,0.025,-0.008333333333333333,0.06666666666666667,120
qwen2.5:7b-instruct,secular_post,heart_revision_toward_gold,-0.008333333333333333,-0.025,0.0,120
qwen2.5:7b-instruct,secular_post,act_revision_toward_gold,0.0,0.0,0.0,120
qwen2.5:7b-instruct,secular_post,explanation_direct_frame_echo_rate,0.03249524607054478,0.028708148102056907,0.03629430858883709,120
qwen2.5:7b-instruct,secular_post,explanation_christianization_score,-0.002446259749822115,-0.00480003859060322,-0.00012817482771803804,120
qwen2.5:7b-instruct,secular_post,explanation_heart_focus_inclusive,0.011649895929101787,0.006909826813508498,0.016096124416731937,120
qwen2.5:7b-instruct,secular_post,explanation_heart_focus_controlled,0.003921162588817331,-0.00047158969195508054,0.007855215590974837,120
qwen2.5:7b-instruct,secular_post,explanation_structure_score,-0.004166666666666667,-0.04375,0.03333333333333333,120
qwen2.5:7b-instruct,secular_pre,j1_heart_correct,0.0,-0.041666666666666664,0.041666666666666664,120
qwen2.5:7b-instruct,secular_pre,j1_act_correct,0.15,0.075,0.225,120
qwen2.5:7b-instruct,secular_pre,j2_heart_correct,-0.016666666666666666,-0.058333333333333334,0.016666666666666666,120
qwen2.5:7b-instruct,secular_pre,j2_act_correct,0.08333333333333333,0.0,0.16666666666666666,120
qwen2.5:7b-instruct,secular_pre,any_revision,0.075,0.016666666666666666,0.14166666666666666,120
qwen2.5:7b-instruct,secular_pre,heart_revision,0.016666666666666666,-0.016666666666666666,0.05,120
qwen2.5:7b-instruct,secular_pre,act_revision,0.06666666666666667,0.016666666666666666,0.125,120
qwen2.5:7b-instruct,secular_pre,heart_revision_toward_gold,0.0,-0.025,0.025,120
qwen2.5:7b-instruct,secular_pre,act_revision_toward_gold,0.0,0.0,0.0,120
qwen2.5:7b-instruct,secular_pre,explanation_direct_frame_echo_rate,0.027150975426001887,0.024244336635446964,0.030091859181136736,120
qwen2.5:7b-instruct,secular_pre,explanation_christianization_score,-0.0023182816376784866,-0.00478361309149345,2.0050772034003553e-05,120
qwen2.5:7b-instruct,secular_pre,explanation_heart_focus_inclusive,0.0025620643550324255,-0.0026328942161720167,0.007574398220481992,120
qwen2.5:7b-instruct,secular_pre,explanation_heart_focus_controlled,-0.004982226803377741,-0.00919230250329053,-0.0009010397232004405,120
qwen2.5:7b-instruct,secular_pre,explanation_structure_score,-0.06041666666666667,-0.09791666666666667,-0.01875,120
