model,condition,metric,mean,ci_low,ci_high,n
qwen2.5:0.5b-instruct,christian_pre,explanation_christianization_score,0.02023756470128144,0.016157452183735658,0.02458603326638596,120
qwen2.5:0.5b-instruct,christian_pre,explanation_heart_focus_inclusive,0.001855752230967358,-0.003557334200245339,0.007564706431975811,120
qwen2.5:0.5b-instruct,christian_pre,explanation_heart_focus_controlled,-0.016841242989760342,-0.019919946062858216,-0.013616272017152905,120
qwen2.5:0.5b-instruct,christian_pre,explanation_structure_score,0.675,0.64375,0.7083333333333334,120
qwen2.5:0.5b-instruct,judgment_only,j1_heart_correct,0.475,0.38333333333333336,0.5583333333333333,120
qwen2.5:0.5b-instruct,judgment_only,j1_act_correct,0.15833333333333333,0.09166666666666666,0.23333333333333334,120
qwen2.5:0.5b-instruct,judgment_only,j2_heart_correct,,,,0
qwen2.5:0.5b-instruct,judgment_only,j2_act_correct,,,,0
qwen2.5:0.5b-instruct,judgment_only,any_revision,,,,0
qwen2.5:0.5b-instruct,judgment_only,heart_revision,,,,0
qwen2.5:0.5b-instruct,judgment_only,act_revision,,,,0
qwen2.5:0.5b-instruct,judgment_only,heart_revision_toward_gold,,,,0
qwen2.5:0.5b-instruct,judgment_only,act_revision_toward_gold,,,,0
qwen2.5:0.5b-instruct,judgment_only,explanation_direct_frame_echo_rate,,,,0
qwen2.5:0.5b-instruct,judgment_only,explanation_christianization_score,,,,0
qwen2.5:0.5b-instruct,judgment_only,explanation_heart_focus_inclusive,,,,0
qwen2.5:0.5b-instruct,judgment_only,explanation_heart_focus_controlled,,,,0
qwen2.5:0.5b-instruct,judgment_only,explanation_structure_score,,,,0
qwen2.5:0.5b-instruct,secular_post,j1_heart_correct,0.475,0.38333333333333336,0.5583333333333333,120
qwen2.5:0.5b-instruct,secular_post,j1_act_correct,0.15833333333333333,0.09166666666666666,0.23333333333333334,120
qwen2.5:0.5b-instruct,secular_post,j2_heart_correct,0.5,0.4166666666666667,0.5916666666666667,120
qwen2.5:0.5b-instruct,secular_post,j2_act_correct,0.16666666666666666,0.1,0.23333333333333334,120
qwen2.5:0.5b-instruct,secular_post,any_revision,0.8583333333333333,0.7916666666666666,0.9166666666666666,120
qwen2.5:0.5b-instruct,secular_post,heart_revision,0.8583333333333333,0.7916666666666666,0.9166666666666666,120
qwen2.5:0.5b-instruct,secular_post,act_revision,0.8583333333333333,0.7916666666666666,0.9166666666666666,120
qwen2.5:0.5b-instruct,secular_post,heart_revision_toward_gold,0.44166666666666665,0.35833333333333334,0.5333333333333333,120
qwen2.5:0.5b-instruct,secular_post,act_revision_toward_gold,0.15,0.09166666666666666,0.21666666666666667,120
qwen2.5:0.5b-instruct,secular_post,explanation_direct_frame_echo_rate,0.017487634356359732,0.012193360339963226,0.023470362002752425,120
qwen2.5:0.5b-instruct,secular_post,explanation_christianization_score,0.0200708242090002,0.017545425438215172,0.02311123432471819,120
qwen2.5:0.5b-instruct,secular_post,explanation_heart_focus_inclusive,0.006166327777874058,0.0011195116229987812,0.011766727176350716,120
qwen2.5:0.5b-instruct,secular_post,explanation_heart_focus_controlled,-0.023185574784327145,-0.02869281505681894,-0.01806805662948017,120
qwen2.5:0.5b-instruct,secular_post,explanation_structure_score,0.5541666666666667,0.50625,0.5979166666666667,120
qwen2.5:0.5b-instruct,secular_pre,j1_heart_correct,0.4666666666666667,0.38333333333333336,0.5583333333333333,120
qwen2.5:0.5b-instruct,secular_pre,j1_act_correct,0.15833333333333333,0.09166666666666666,0.23333333333333334,120
qwen2.5:0.5b-instruct,secular_pre,j2_heart_correct,0.49166666666666664,0.4083333333333333,0.5833333333333334,120
qwen2.5:0.5b-instruct,secular_pre,j2_act_correct,0.15833333333333333,0.09166666666666666,0.225,120
qwen2.5:0.5b-instruct,secular_pre,any_revision,0.9083333333333333,0.85,0.9583333333333334,120
qwen2.5:0.5b-instruct,secular_pre,heart_revision,0.9083333333333333,0.85,0.9583333333333334,120
qwen2.5:0.5b-instruct,secular_pre,act_revision,0.9083333333333333,0.85,0.9583333333333334,120
qwen2.5:0.5b-instruct,secular_pre,heart_revision_toward_gold,0.4666666666666667,0.38333333333333336,0.55,120
qwen2.5:0.5b-instruct,secular_pre,act_revision_toward_gold,0.15,0.09166666666666666,0.21666666666666667,120
qwen2.5:0.5b-instruct,secular_pre,explanation_direct_frame_echo_rate,0.01036898438784354,0.007660207596016109,0.013185585567368202,120
qwen2.5:0.5b-instruct,secular_pre,explanation_christianization_score,0.013607134161713476,0.011449787562275071,0.01578635041697089,120
qwen2.5:0.5b-instruct,secular_pre,explanation_heart_focus_inclusive,0.0024151725969055447,-0.0011824499326189724,0.006680659646846024,120
qwen2.5:0.5b-instruct,secular_pre,explanation_heart_focus_controlled,-0.01847006070069989,-0.021587345229114072,-0.015337316922830272,120
qwen2.5:0.5b-instruct,secular_pre,explanation_structure_score,0.625,0.5875,0.6604166666666667,120
qwen2.5:7b-instruct,baseline,j1_heart_correct,0.95,0.9083333333333333,0.9833333333333333,120
qwen2.5:7b-instruct,baseline,j1_act_correct,0.675,0.5916666666666667,0.7583333333333333,120
qwen2.5:7b-instruct,baseline,j2_heart_correct,0.9583333333333334,0.9166666666666666,0.9916666666666667,120
qwen2.5:7b-instruct,baseline,j2_act_correct,0.65,0.5666666666666667,0.7333333333333333,120
qwen2.5:7b-instruct,baseline,any_revision,0.03333333333333333,0.008333333333333333,0.06666666666666667,120
qwen2.5:7b-instruct,baseline,heart_revision,0.008333333333333333,0.0,0.025,120
qwen2.5:7b-instruct,baseline,act_revision,0.025,0.0,0.058333333333333334,120
qwen2.5:7b-instruct,baseline,heart_revision_toward_gold,0.008333333333333333,0.0,0.025,120
qwen2.5:7b-instruct,baseline,act_revision_toward_gold,0.0,0.0,0.0,120
qwen2.5:7b-instruct,baseline,explanation_direct_frame_echo_rate,0.0,0.0,0.0,120
qwen2.5:7b-instruct,baseline,explanation_christianization_score,0.01751450012444409,0.015382159914188046,0.019569105120176136,120
qwen2.5:7b-instruct,baseline,explanation_heart_focus_inclusive,0.012484800865260597,0.008397701466536334,0.01665663878322875,120
qwen2.5:7b-instruct,baseline,explanation_heart_focus_controlled,-0.01816611546369058,-0.021456205935417135,-0.015064435290531834,120
qwen2.5:7b-instruct,baseline,explanation_structure_score,0.7333333333333333,0.7041666666666667,0.7625,120
qwen2.5:7b-instruct,christian_post,j1_heart_correct,0.95,0.9083333333333333,0.9833333333333333,120
qwen2.5:7b-instruct,christian_post,j1_act_correct,0.675,0.5916666666666667,0.7583333333333333,120
qwen2.5:7b-instruct,christian_post,j2_heart_correct,0.9583333333333334,0.9166666666666666,0.9916666666666667,120
qwen2.5:7b-instruct,christian_post,j2_act_correct,0.6666666666666666,0.5833333333333334,0.75,120
qwen2.5:7b-instruct,christian_post,any_revision,0.05,0.016666666666666666,0.09166666666666666,120
qwen2.5:7b-instruct,christian_post,heart_revision,0.008333333333333333,0.0,0.025,120
qwen2.5:7b-instruct,christian_post,act_revision,0.041666666666666664,0.008333333333333333,0.08333333333333333,120
qwen2.5:7b-instruct,christian_post,heart_revision_toward_gold,0.008333333333333333,0.0,0.025,120
qwen2.5:7b-instruct,christian_post,act_revision_toward_gold,0.008333333333333333,0.0,0.025,120
qwen2.5:7b-instruct,christian_post,explanation_direct_frame_echo_rate,0.06403124234299504,0.06067681893401004,0.06726665844470911,120
qwen2.5:7b-instruct,christian_post,explanation_christianization_score,0.06403124234299504,0.06067681893401004,0.06726665844470911,120
qwen2.5:7b-instruct,christian_post,explanation_heart_focus_inclusive,0.06984193520758944,0.06487427143004697,0.0748985022096614,120
qwen2.5:7b-instruct,christian_post,explanation_heart_focus_controlled,0.000736404623055534,-0.0028300628703185394,0.004349479858451794,120
qwen2.5:7b-instruct,christian_post,explanation_structure_score,0.925,0.9041666666666667,0.94375,120
qwen2.5:7b-instruct,christian_pre,j1_heart_correct,0.9666666666666667,0.9333333333333333,0.9916666666666667,120
qwen2.5:7b-instruct,christian_pre,j1_act_correct,0.8166666666666667,0.75,0.8833333333333333,120
qwen2.5:7b-instruct,christian_pre,j2_heart_correct,0.9833333333333333,0.9583333333333334,1.0,120
qwen2.5:7b-instruct,christian_pre,j2_act_correct,0.7583333333333333,0.6833333333333333,0.8333333333333334,120
qwen2.5:7b-instruct,christian_pre,any_revision,0.075,0.03333333333333333,0.125,120
qwen2.5:7b-instruct,christian_pre,heart_revision,0.016666666666666666,0.0,0.041666666666666664,120
qwen2.5:7b-instruct,christian_pre,act_revision,0.058333333333333334,0.016666666666666666,0.10833333333333334,120
qwen2.5:7b-instruct,christian_pre,heart_revision_toward_gold,0.016666666666666666,0.0,0.041666666666666664,120
qwen2.5:7b-instruct,christian_pre,act_revision_toward_gold,0.0,0.0,0.0,120
qwen2.5:7b-instruct,christian_pre,explanation_direct_frame_echo_rate,0.049668172779677576,0.04618696432863563,0.05356362531850379,120
qwen2.5:7b-instruct,christian_pre,explanation_christianization_score,0.049668172779677576,0.04618696432863563,0.05356362531850379,120
qwen2.5:7b-instruct,christian_pre,explanation_heart_focus_inclusive,0.0451602273531496,0.0399536031603676,0.050667649486414536,120
qwen2.5:7b-instruct,christian_pre,explanation_heart_focus_controlled,-0.010122942871495661,-0.013634381118798045,-0.006451413593615385,120
qwen2.5:7b-instruct,christian_pre,explanation_structure_score,0.8354166666666667,0.80625,0.8645833333333334,120
qwen2.5:7b-instruct,judgment_only,j1_heart_correct,0.95,0.9083333333333333,0.9833333333333333,120
qwen2.5:7b-instruct,judgment_only,j1_act_correct,0.675,0.5916666666666667,0.7583333333333333,120
qwen2.5:7b-instruct,judgment_only,j2_heart_correct,,,,0
qwen2.5:7b-instruct,judgment_only,j2_act_correct,,,,0
qwen2.5:7b-instruct,judgment_only,any_revision,,,,0
qwen2.5:7b-instruct,judgment_only,heart_revision,,,,0
qwen2.5:7b-instruct,judgment_only,act_revision,,,,0
qwen2.5:7b-instruct,judgment_only,heart_revision_toward_gold,,,,0
qwen2.5:7b-instruct,judgment_only,act_revision_toward_gold,,,,0
qwen2.5:7b-instruct,judgment_only,explanation_direct_frame_echo_rate,,,,0
qwen2.5:7b-instruct,judgment_only,explanation_christianization_score,,,,0
qwen2.5:7b-instruct,judgment_only,explanation_heart_focus_inclusive,,,,0
qwen2.5:7b-instruct,judgment_only,explanation_heart_focus_controlled,,,,0
qwen2.5:7b-instruct,judgment_only,explanation_structure_score,,,,0
qwen2.5:7b-instruct,secular_post,j1_heart_correct,0.95,0.9083333333333333,0.9833333333333333,120
qwen2.5:7b-instruct,secular_post,j1_act_correct,0.675,0.5916666666666667,0.7583333333333333,120
qwen2.5:7b-instruct,secular_post,j2_heart_correct,0.9416666666666667,0.8916666666666667,0.975,120
qwen2.5:7b-instruct,secular_post,j2_act_correct,0.65,0.5666666666666667,0.7333333333333333,120
qwen2.5:7b-instruct,secular_post,any_revision,0.058333333333333334,0.025,0.1,120
qwen2.5:7b-instruct,secular_post,heart_revision,0.008333333333333333,0.0,0.025,120
qwen2.5:7b-instruct,secular_post,act_revision,0.05,0.016666666666666666,0.09166666666666666,120
qwen2.5:7b-instruct,secular_post,heart_revision_toward_gold,0.0,0.0,0.0,120
qwen2.5:7b-instruct,secular_post,act_revision_toward_gold,0.0,0.0,0.0,120
qwen2.5:7b-instruct,secular_post,explanation_direct_frame_echo_rate,0.03249524607054478,0.028708148102056907,0.03629430858883709,120
qwen2.5:7b-instruct,secular_post,explanation_christianization_score,0.015068240374621974,0.013147439685055792,0.01687919371122888,120
qwen2.5:7b-instruct,secular_post,explanation_heart_focus_inclusive,0.02413469679436238,0.01982297507883408,0.0285337437335634,120
qwen2.5:7b-instruct,secular_post,explanation_heart_focus_controlled,-0.014244952874873247,-0.017297700045449782,-0.011299185788717164,120
qwen2.5:7b-instruct,secular_post,explanation_structure_score,0.7291666666666666,0.7,0.75625,120
qwen2.5:7b-instruct,secular_pre,j1_heart_correct,0.95,0.9083333333333333,0.9833333333333333,120
qwen2.5:7b-instruct,secular_pre,j1_act_correct,0.825,0.75,0.8916666666666667,120
qwen2.5:7b-instruct,secular_pre,j2_heart_correct,0.9416666666666667,0.8916666666666667,0.975,120
qwen2.5:7b-instruct,secular_pre,j2_act_correct,0.7333333333333333,0.65,0.8166666666666667,120
qwen2.5:7b-instruct,secular_pre,any_revision,0.10833333333333334,0.058333333333333334,0.16666666666666666,120
qwen2.5:7b-instruct,secular_pre,heart_revision,0.025,0.0,0.058333333333333334,120
qwen2.5:7b-instruct,secular_pre,act_revision,0.09166666666666666,0.041666666666666664,0.15,120
qwen2.5:7b-instruct,secular_pre,heart_revision_toward_gold,0.008333333333333333,0.0,0.025,120
qwen2.5:7b-instruct,secular_pre,act_revision_toward_gold,0.0,0.0,0.0,120
qwen2.5:7b-instruct,secular_pre,explanation_direct_frame_echo_rate,0.027150975426001887,0.024244336635446964,0.030091859181136736,120
qwen2.5:7b-instruct,secular_pre,explanation_christianization_score,0.015196218486765604,0.013204964096333571,0.017232333599489304,120
qwen2.5:7b-instruct,secular_pre,explanation_heart_focus_inclusive,0.01504686522029302,0.010744726378357213,0.019168510874713333,120
qwen2.5:7b-instruct,secular_pre,explanation_heart_focus_controlled,-0.023148342267068318,-0.026566173909402382,-0.019892208878366964,120
qwen2.5:7b-instruct,secular_pre,explanation_structure_score,0.6729166666666667,0.6375,0.7083333333333334,120
